University,Society Name,About,Keyword
LOUGHBOROUGH UNIVERSITY,Afro-Caribbean Society,"Working to uplift and inspire Loughborough
University's Afro-Caribean student community",Culture / Nation / Faith
LOUGHBOROUGH UNIVERSITY,French Society,French atmosphere but cosmopolitan fun!,Culture / Nation / Faith
LOUGHBOROUGH UNIVERSITY,Jewish Society,"We strive to give all Jews in Loughborough a community,
with food, Jewish learning and fun!",Culture / Nation / Faith
LOUGHBOROUGH UNIVERSITY,Tamil Society,"Welcome to Loughborough University's Tamil Society!
It's one of the best universities in the country
and we hope to make Loughborough Tamil Society
one of the finest and memorable�times of your university experience.
Loughborough Tamil Society aims to nurture a growing
togetherness among those who want to learn and
understand the Tamil history, culture and traditions.",Culture / Nation / Faith
LOUGHBOROUGH UNIVERSITY,Asian Society,"The society is aimed at creating an environment where
members are able to express an unforgettable
time at Loughborough University. We would like
our events to bridge the gap between students
from varying nations and cultures by bringing
them together through our social and sporting activities. �",Culture / Nation / Faith
LOUGHBOROUGH UNIVERSITY,Accounting & Business Society,Loughborough Accounting & Business Society,"Career / Academic
/ Employability"
LOUGHBOROUGH UNIVERSITY,Loughborough Finance and Investment Society,"The�Loughborough Finance and Investment Society�(LFIS)
is the biggest society on campus, with
an active membership base of over 400
students and an enormous network of alumni.","Career / Academic
/ Employability"
LOUGHBOROUGH UNIVERSITY,Architecture Society,Loughborough Architecture Society,"Career / Academic
/ Employability"
LOUGHBOROUGH UNIVERSITY,Trading Society,Loughborough Trading Society,"Career / Academic
/ Employability"
LOUGHBOROUGH UNIVERSITY,TEDx Loughborough,"TEDx Society runs meetings, events and
competitions throughout the year. We
offer the opportunity to be part of a
vibrant community enthusiastic about ideas worth spreading.","Career / Academic
/ Employability"
LOUGHBOROUGH UNIVERSITY,Yoga Society,"This is LSU Yoga Society! We hold 3 classes a week in Ashtanga, Hatha and Power Flow styles as well as socials and trips through the year, there's something to suit everyone. Join the community!","Outdoor / Activities
/ Sports"
LOUGHBOROUGH UNIVERSITY,Gliding,"LSUGC can offer you the chance to gain first a solo
qualification and then a full Light Aircraft Pilots
Licence (S) or even a Private Pilots Licence if
you wish, with some members obtaining their
solo rating in under 30 launches!","Outdoor / Activities
/ Sports"
LOUGHBOROUGH UNIVERSITY,LSU Darts & Cue Sports,"Founded in 2014 as LSU Darts, LSU Darts & Cue Sports is a unique and hugely successful�society that has a lot to offer to all students!","Outdoor / Activities
/ Sports"
LOUGHBOROUGH UNIVERSITY,Motor Club,"We repair, break, and build motorised stuff! Also attend events such as time trials, road rally's, and a summer tour.","Outdoor / Activities
/ Sports"
LOUGHBOROUGH UNIVERSITY,Small Sided Football,"Welcome to Loughborough University's Small Sided Football Society.�The football matches are 5-a-side, with most teams having 2 substitutes (7 per team in total), and indoors in the College 2012 Centre.","Outdoor / Activities
/ Sports"
LOUGHBOROUGH UNIVERSITY,Cocktail Society,"Welcome to LSU Cocktail Society, the society which enjoys making cocktails just as much as drinking them! We welcome all ranges of skill whether you have cocktail making skills already or have never tried more than putting vodka with orange juice. Our�committee�are dedicated to making sure everyone is learning new skills, tasting new flavours and having a great time.",Food & Drink
LOUGHBOROUGH UNIVERSITY,Cook n Bake,"We are the society of food lovers. Whether you
prefer to cook or bake, have dreams of
your own restaurant or tend to burn pasta,
we want to make food with you! With food
parties (they're as good as they sound - music,
learning how to make an eating good food and a chilled vibe),
workshops, demonstrations, competitions
and exclusive member discounts at cafes and
restaurants around town - we're focussing on
student living being healthy, delicious and accessible.",Food & Drink
LOUGHBOROUGH UNIVERSITY,Real Ale Society,Meet up once or twice a week in various pubs around loughborough.,Food & Drink
LOUGHBOROUGH UNIVERSITY,VegSoc,"We are a society that welcomes anyone; we want to provide a�safe space�for people to chat, relax, and have fun. Throughout the year we plan events that center around�vegetarianism and veganism.",Food & Drink
LOUGHBOROUGH UNIVERSITY,BAKING SOCIETY,"We are a fun, easy and laid back baking group for all entry levels. No matter whether you're an expert, begginer or never used an oven before! All are welcome at the Baking Society.",Food & Drink
LOUGHBOROUGH UNIVERSITY,Open Minds,"OpenMinds is a fun creative platform for those who are interested in creative writing, spoken word, poetry, film production and many other creative mediums to host/attend various social events.",Other Interests
LOUGHBOROUGH UNIVERSITY,Loughborough Space,"Hello and Welcome to the Loughborough Space Society.
We are a group of students interested in any
and all things Space. Be it Rocketry, H.A. Balloons,
STEM Outreach, Astronomy, Trips to the NSC,
Film Nights, Socials or Space Conferences, we do it all.
We ran over 25 events for over 70 members in our first
year and were named�Best New Society in the UK�at
the 2017 National Societies Awards. We plan to run
even more competitions and events this year, so
what are you waiting for; join today! We can't wait to
welcome you to�#LboroSpace, your�Home away from Home.",Other Interests
LOUGHBOROUGH UNIVERSITY,Disney Society,The disney society comes to you this year bigger and better than ever before!,Other Interests
LOUGHBOROUGH UNIVERSITY,LSU British Red Cross,Loughborough LSU British Red Cross Society,Other Interests
LOUGHBOROUGH UNIVERSITY,LSU Harry Potter & Quidditch Society,"Welcome to the Loughborough Students' Union's Harry Potter and Quidditch Society! If you want to get together with like minded muggles or you want to try out the best full contact, multi gender sport of Quidditch then we are the society for you!",Other Interests
Liverpool Hope University,Afro-Caribbean Society,"Working to uplift and inspire Loughborough
University's Afro-Caribean student community",Culture / Nation / Faith
Liverpool Hope University,French Society,French atmosphere but cosmopolitan fun!,Culture / Nation / Faith
Liverpool Hope University,Jewish Society,"We strive to give all Jews in Loughborough a community,
with food, Jewish learning and fun!",Culture / Nation / Faith
Liverpool Hope University,Tamil Society,"Welcome to Loughborough University's Tamil Society!
It's one of the best universities in the country
and we hope to make Loughborough Tamil Society
one of the finest and memorable�times of your university experience.
Loughborough Tamil Society aims to nurture a growing
togetherness among those who want to learn and
understand the Tamil history, culture and traditions.",Culture / Nation / Faith
Liverpool Hope University,Asian Society,"The society is aimed at creating an environment where
members are able to express an unforgettable
time at Loughborough University. We would like
our events to bridge the gap between students
from varying nations and cultures by bringing
them together through our social and sporting activities. �",Culture / Nation / Faith
Liverpool Hope University,ACCOUNTING,"The Accounting society is a society that is built around the course that accounting students attend. It can be the platform to building a strong bond between students within offering guest speakers and help if needed from other members. In the past we have had guest speakers in from local business and banks to give an insight into Accounting daily life, purely for Accounting students.","Career / Academic
/ Employability"
Liverpool Hope University,BUSINESS AND ENTERPRISE SOCIETY,"Over the year, there will be several company visits to external businesses (some of your choice), opportunities for external research projects, key-note speaker lectures, networking event invitations and numerous competitions.","Career / Academic
/ Employability"
Liverpool Hope University,ENGLISH SOCIETY,"The English Society is a great way to meet people on your course, be part of a friendly group and share our interest in English. It is good to bridge the gap between language and literature and create a community","Career / Academic
/ Employability"
Liverpool Hope University,LHU LAW SOCIETY,Liverpool Hope Law Society Society,"Career / Academic
/ Employability"
Liverpool Hope University,MATHEMATICS & COMPUTER SCIENCE SOCIETY,Liverpool Hope Mathematics & Computer Science Society,"Career / Academic
/ Employability"
Liverpool Hope University,BASKETBALL,Come and Join the LHU's Basketball team.�,"Outdoor / Activities
/ Sports"
Liverpool Hope University,BADMINTON,Come and Join the LHU's Badminton team.�,"Outdoor / Activities
/ Sports"
Liverpool Hope University,ATHLETICS,"The Athletics and Cross-country club welcomes athletes of all abilities and disciplines to enjoy training, competing and socialising in a friendly social atmosphere. We welcome anyone who is keen to train for any event, be it track or field events, short to long distance runs, of all abilities.","Outdoor / Activities
/ Sports"
Liverpool Hope University,NETBALL,"Liverpool Hope Netball Team run two BUCS league competitive teams and offer non-competitive fun development sessions, so there is netball available to everyone at Hope!","Outdoor / Activities
/ Sports"
Liverpool Hope University,RUGBY UNION,"We play in the BUCS 4A northern league, competing against Universities across the north. Our home games are played on Hope's campus behind the sports hall.�","Outdoor / Activities
/ Sports"
Liverpool Hope University,CHEESE AND WINE SOCIETY,"A society to unite people in their love of Wine and Cheese, bringing them together in social situations to discuss relevant topics all whilst enjoying themselves.",Food & Drink
Liverpool Hope University,REAL ALE SOCIETY,This group is for all students who appreciate real ale.,Food & Drink
Liverpool Hope University,BAKING SOCIETY,"We are a fun, easy and laid back baking group for all entry levels. No matter whether you're an expert, begginer or never used an oven before! All are welcome at the Baking Society.",Food & Drink
Liverpool Hope University,Cook n Bake,"We are the society of food lovers. Whether you
prefer to cook or bake, have dreams of
your own restaurant or tend to burn pasta,
we want to make food with you! With food
parties (they're as good as they sound - music,
learning how to make an eating good food and a chilled vibe),
workshops, demonstrations, competitions
and exclusive member discounts at cafes and
restaurants around town - we're focussing on
student living being healthy, delicious and accessible.",Food & Drink
Liverpool Hope University,VegSoc,"We are a society that welcomes anyone; we want to provide a�safe space�for people to chat, relax, and have fun. Throughout the year we plan events that center around�vegetarianism and veganism.",Food & Drink
Liverpool Hope University,BRITISH SIGN LANGUAGE (BSL) SOCIETY,"The BSL society is a brand new society at Hope.�that offers a friendly social way to have fun while picking up new skills along the way. We aim to promote the use and knowledge of British Sign Language, not only to provide a new means of communication but also to raise awareness of the Deaf Community.",Other Interests
Liverpool Hope University,CHESS SOCIETY,"Chess is a well-respected study, which provides further opportunities for employment and enjoyment worldwide. Our group will extend this to the students of Liverpool Hope University.",Other Interests
Liverpool Hope University,CREATIVE WRITING SOCIETY,,Other Interests
Liverpool Hope University,DOCTOR WHO SOCIETY,"As well as having a place where we can show Doctor Who in cinematic conditions, and having plenty of discussions and conversations about the show and it�s background we would also run different events such as debate nights, games nights, sketches and skits that would all aim to entertain new and old members. The society could also act as a place where students could spend some time every week relaxing and socialising away from the work and stresses of student lives. The society could also help those that struggle in social environments by providing a far more relaxed space to meet people that they know share a common interest in Doctor Who.",Other Interests
Liverpool Hope University,FILM SOCIETY,"We want to create this society to give students the opportunity to watch and discuss films in a relaxed environment, it will also help film or media students to widen their frame of reference for their studies and help expand their ideas and overall knowledge.",Other Interests
Liverpool John Moores University,Catholic Society,"The Catholic Society is a place where everyone is welcome, whether they are already Catholic or are just interested, and where students are supported and support each other in their faith.",Culture / Nation / Faith
Liverpool John Moores University,Christian Union,"We are a group of students that know or
are interested in knowing the truth of the
Gospel, what it has done for us and how it fits into Uni-life.",Culture / Nation / Faith
Liverpool John Moores University,Islamic Society,"A group for those who are interested in, or follow the faith of Islam",Culture / Nation / Faith
Liverpool John Moores University,Student Church,Student Church is a society that is made up of students from different churches but predominantly Frontline Church. Our vision this year is 'Love God // Love Others'.,Culture / Nation / Faith
Liverpool John Moores University,Afro-Caribbean Society,"Afro-Caribbean Society: a social group for�with the topic of�Afro-Caribbean heritage, and the lives of Afro-Caribbean students living in Liverpool.",Culture / Nation / Faith
Liverpool John Moores University,Biology Society,The Biology Society: Is a social group for people interested in the study of living organisms.,"Career / Academic
/ Employability"
Liverpool John Moores University,Business Society,"The Business Society was started last year by students who were looking for more than just power point presentations in the lecture theatres. The committee members are now mostly made up of 3rd�year students and looking for people who want to add something special to their CVs by becoming a committee member and offering the Society their skills. We are planning to offer the �Executive Challenge�, a competition between students to fix problems in business which comes with a course certificate and more executive dinner invites to business meetings around the UK including the CBI conference.","Career / Academic
/ Employability"
Liverpool John Moores University,Psychology,"We aim to provide students studying or interested in psychology a place to interact and socialise, improving their uni experience! We have a myriad of fun things planned including nights out, board-game nights, pub quizzes and film nights! We will also provide a forum where students can get advice on university life, their course and their later careers in psychology!","Career / Academic
/ Employability"
Liverpool John Moores University,Postgraduate Society,"This is an inclusive group that is open to everyone who is a postgraduate student at LJMU. This group is tailored to provide opportunities to meet your fellow postgraduate students from all faculties, listen to some great guest speakers and have time to build friendships as part of the social events.","Career / Academic
/ Employability"
Liverpool John Moores University,Midwifery Society,The LJMU Midwifery Society was set up as a backbone to support students and staff alike to continue their development in the professional world of Midwifery and Health Care.,"Career / Academic
/ Employability"
Liverpool John Moores University,Pole Fitness,"Whether you're looking to gain confidence, feel good about yourself, make friends, or just have fun, then pole fitness could be just the society for you!","Outdoor / Activities
/ Sports"
Liverpool John Moores University,Badminton,"LJMU Badminton Club is more than a just a team � we are a family, and you can be part of it. Whatever your ability, there is a place for you here.","Outdoor / Activities
/ Sports"
Liverpool John Moores University,Men's Football,"LJMU Men�s Football is the university�s largest sporting societies who are annually achieving Silverware throughout the leagues and domestic cups they participate in. We are a club build up of 3 teams and can offer the best opportunity to compete in high level, fast paced competitions.","Outdoor / Activities
/ Sports"
Liverpool John Moores University,Men's Basketball,We are a team of experienced players and also those new to the sport. We encourage all to come and give the fastest growing sport in the UK a chance!,"Outdoor / Activities
/ Sports"
Liverpool John Moores University,Futsal Club,"LJMU Futsal is a new committed club where we are aiming to enter two teams competing in the FA Cup, in the regional league, as well varsity and weekly friendlies. Futsal is a competitive and entertaining� indoor sport where you can show off your football skills and creativity.","Outdoor / Activities
/ Sports"
Liverpool John Moores University,Vegetarian & Vegan Society,"We are a society focused on the vegetarian/vegan lifestyle whether it be for animal welfare, health, environmental reasons, etc. It exists for LJMU students who wish to partake in local social and activism events with those sharing the same lifestyle, or even those who are curious in starting the journey.�",Food & Drink
Liverpool John Moores University,REAL ALE SOCIETY,This group is for all students who appreciate real ale.,Food & Drink
Liverpool John Moores University,BAKING SOCIETY,"We are a fun, easy and laid back baking group for all entry levels. No matter whether you're an expert, begginer or never used an oven before! All are welcome at the Baking Society.",Food & Drink
Liverpool John Moores University,Cook n Bake,"We are the society of food lovers. Whether you
prefer to cook or bake, have dreams of
your own restaurant or tend to burn pasta,
we want to make food with you! With food
parties (they're as good as they sound - music,
learning how to make an eating good food and a chilled vibe),
workshops, demonstrations, competitions
and exclusive member discounts at cafes and
restaurants around town - we're focussing on
student living being healthy, delicious and accessible.",Food & Drink
Liverpool John Moores University,Cocktail Society,"Welcome to Cocktail Society, the society which enjoys making cocktails just as much as drinking them! We welcome all ranges of skill whether you have cocktail making skills already or have never tried more than putting vodka with orange juice. Our�committee�are dedicated to making sure everyone is learning new skills, tasting new flavours and having a great time.",Food & Drink
Liverpool John Moores University,Anime Society,The main aim of anime society is to show a diverse range of new and classic Japanese animation to group members. We meet to socialise and share our passion for anime.,Other Interests
Liverpool John Moores University,Book Society,Book society: A group for people to meet and discuss books that other members of the book society have read.,Other Interests
Liverpool John Moores University,Dance Music & DJ Society,The LJMU Dance Music & DJ Society seeks is to attract like-minded LJMU students.,Other Interests
Liverpool John Moores University,Disabled Students Society,We are a group of disabled students who meet on a regular basis. Our main objective is to help disabled students to meet other disabled students and to bring a sense of community and representation.,Other Interests
Liverpool John Moores University,Feminist Society,"LJMU Feminist society is an all inclusive society welcoming people of any sex/gender. Our aim is to host meetings , trips and general gatherings , where we can discuss in confidence issues around feminism. The goal of these gatherings is to liberate , build confidence and support each other in a safe environment. Also to make friends , have a laugh, watch documentaries and go on marches. If you feel passionately about women's rights and want to come and make new feminist friends this is the society for you!",Other Interests
University Of Birmingham,Afghan,A society welcoming all those interested in Afghan culture and cultural events.,Culture / Nation / Faith
University Of Birmingham,African & Caribbean,"The University of Birmingham African CaribbeanSociety aims to promote diversity, unity and culture by putting on events that educate, reflect and empower our proud members.",Culture / Nation / Faith
University Of Birmingham,Bengali,We are a new society set-up in response to a recognition by students of the need to promote and inspire the younger local Bengali generation and bring together Bengali students at our university.,Culture / Nation / Faith
University Of Birmingham,Chinese,The Official Chinese Society in the University of Birmingham. We help to promote the Chinese culture through traditional events. We would love to organise events together with involving members from all ethnicities and backgrounds! ��,Culture / Nation / Faith
University Of Birmingham,East African,"To bring east Africans together, to have a home away from home for East African students and for those with an interest on East African culture",Culture / Nation / Faith
University Of Birmingham,Education,"Education Society is for absolutely everyone, whether you are studying education or are simply interested in it! We have some great socials and academic events lined up for this year so join today!","Career / Academic
/ Employability"
University Of Birmingham,ELSA,"Get involved in ELSA, the largest independent law students' association.","Career / Academic
/ Employability"
